"No","カテゴリ","項目名","詳細な仕様","関連ファイル","備考 / 状態変数"
"1","画面遷移","タイトル画面 (TitleScreen)","ゲームの起動画面。「ゲーム開始」「遊び方」「アップグレード」「図鑑」「デッキ編成」への遷移ボタンと、言語切り替え(en/ja)ボタンがある。","TitleScreen.tsx, App.tsx","view: ""title"""
"2","画面遷移","ステージ選択 (StageSelectScreen)","挑戦するステージを選ぶ画面。クリア状況に応じて全3ステージから選択可能。未解放ステージはロックアイコンが表示される。","StageSelectScreen.tsx, App.tsx","view: ""stage-select"""
"3","画面遷移","メインゲーム (Game)","タワーディフェンスのメインプレイ画面。ヘッダー(HUD)、フィールドマップ、下部操作パネル(ウェーブ開始、タワー/スキル選択)で構成される。","App.tsx, useGameLoop.ts","view: ""game"""
"4","画面遷移","リザルト画面 (Overlay)","WAVE 10クリア(VICTORY) または HP0(GAME OVER) 時に表示。獲得ポイントと「タイトルへ戻る」ボタンを表示する。","App.tsx","gameState.isGameOver / isVictory"
"5","画面遷移","デッキ編成 (DeckScreen)","出撃時のタワー(最大5種)と魔法スキル(最大3種)を編成し、3つのプリセット(デッキ)として保存できる。未解放のタワーは選択不可。","DeckScreen.tsx","view: ""deck"""
"6","画面遷移","アップグレード (UpgradesScreen)","獲得したポイント(ジェム)を消費して、タワーの基礎ダメージ・射程、スキルのアンロック、初期SP上限の増加などを永続強化する画面。","UpgradesScreen.tsx","view: ""upgrades"""
"7","画面遷移","図鑑 (BestiaryScreen)","ゲーム内に登場する敵(スライム、ゴブリンなど)のHP、移動速度、特徴を確認できる。","BestiaryScreen.tsx","view: ""bestiary"""
"8","画面遷移","遊び方 (HowToPlayScreen)","ゲームの基本ルール、タワーの属性、スキルの効果などをテキストとアイコンで説明する静的ページ。","HowToPlayScreen.tsx","view: ""how-to-play"""
"9","コアループ","フレーム更新 (tick)","requestAnimationFrame()を使用し、敵の移動、タワーの攻撃判定、デバフ(毒・スロウ)の計算、マナ(資金)とSPの自然増加を毎フレーム処理する。","useGameLoop.ts","tick関数"
"10","コアループ","ウェーブ進行","ウェーブ開始ボタンで敵スポーン開始。指定数の敵を一定間隔(1200ms)で出現させる。5WAVE毎にボスが出現。最大WAVEは10。","useGameLoop.ts","startWave(), waveSpawningRef"
"11","コアループ","タワー設置","プレイヤーが下部のアイコンからタワーを選択し、フィールドの道(Path)以外のグリッドをクリックすると、設定されたマナを消費して配置する。","App.tsx, useGameLoop.ts","placeTower()"
"12","セーブ機構"," localStorage保存","所持ポイント、解放済みステージ、アップグレード状況、カスタマイズデッキ編成をブラウザのローカルストレージに永続保存する。","saveSystem.ts","loadSaveData(), saveGameData()"
"13","セーブ機構","アンロック管理","クリア時に `unlockedStages` をインクリメント。アップグレード時に `upgrades.unlocked[Name]` フラグを+1し解放状態を管理する。","saveSystem.ts, useGameLoop.ts","isTowerUnlocked(), handleUpgrade()"
"14","ゲーム仕様","タワーの属性","Fire(単体高火力), Ice(スロウ), Thunder(長射程), Earth(単体超火力), Nature(デバフ)など全13種類のタワーが存在する。","App.tsx, useGameLoop.ts","TOWER_INFO"
"15","ゲーム仕様","魔法スキル (SP消費)","マナとは別にSPを消費して発動。「Meteor(広範囲ダメージ)」「Freeze(全敵停止)」「Storm(ノックバック)」「Haste(タワー攻撃速度UP)」など。","App.tsx, useGameLoop.ts","SKILL_INFO, useSkill()"
"16","レスポンシブ","Dynamic Viewport (100dvh)","iOS Safari等のURLバー領域によって画面下部のボタン(ウェーブ開始等)が押せなくなるバグを防ぐため、全画面で100dvhを使用している。","App.tsx 等全画面","height: ""100dvh"""
"17","レスポンシブ","HUDレイアウト","画面幅が768px以下の場合、ヘッダーのステータス情報(HP, マナ, SP, 倍速設定)を垂直にスタックし、画面外への見切れを防止している。","index.css, App.tsx",".game-header-stats"
